date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:56:15	1061/1061	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-425%22	https://manta.network/assets/img/socials/medium-color-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/medium-color-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:16	4328/4328	---M--	200	added ('OK')	image/png	etag:%2265c335f6-10e8%22	https://manta.network/assets/img/socials-element-1.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials-element-1.png	(from https://manta.network/?utm_source=icodrops)
04:56:17	7913/7913	---M--	200	added ('OK')	image/png	etag:%2265c335f6-1ee9%22	https://manta.network/assets/img/socials-element-2.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials-element-2.png	(from https://manta.network/?utm_source=icodrops)
04:56:25	44220/44220	---M--	200	added ('OK')	image/png	etag:%2265c335f6-acbc%22	https://manta.network/assets/img/socials-image.png	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials-image.png	(from https://manta.network/?utm_source=icodrops)
04:56:26	6606/6606	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-19ce%22	https://manta.network/assets/img/logo-white.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/logo-white.svg	(from https://manta.network/?utm_source=icodrops)
04:56:27	1365/1365	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-555%22	https://manta.network/assets/img/socials/discord-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/discord-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:27	553/553	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-229%22	https://manta.network/assets/img/socials/telegram-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/telegram-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:28	1117/1117	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-45d%22	https://manta.network/assets/img/socials/twitter-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/twitter-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:29	1621/1621	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-655%22	https://manta.network/assets/img/socials/github-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/github-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
04:56:29	826/826	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2265c335f6-33a%22	https://manta.network/assets/img/socials/youtube-white-icon.svg	C:/My%20Web%20Sites/tawio/manta.network/assets/img/socials/youtube-white-icon.svg	(from https://manta.network/?utm_source=icodrops)
